Network,Number of nodes,Number of edges,Minimum degree,Maximum degree,Average degree,Assortativity,Average clustering,Average path length,Diameter
20x2+5x2,50,404,4,22,16.16,0.918647375,0.971558442,2.387755102,4
circle9,9,9,2,2,2,nan,0,2.5,4
graph3+1+3,7,8,2,3,2.285714286,-0.6,0.666666667,2.19047619,4
graph3+2+3,8,13,3,4,3.25,-0.083333333,0.875,1.857142857,3
grid-p-6x6,36,72,4,4,4,nan,0,3.085714286,6
rb25,25,66,4,20,5.28,-0.163525836,0.902315789,2.033333333,4
star,9,8,1,8,1.777777778,-1,0,1.777777778,2
wheel,9,16,3,8,3.555555556,-0.333333333,0.624338624,1.555555556,2
256_4_4_2_15_18_p,256,2274,15,23,17.765625,0.02862392,0.733061146,2.782107843,5
256_4_4_4_13_18_p,256,2299,10,25,17.9609375,0.000695402,0.511299554,2.651102941,4
BA1000,1000,3990,4,115,7.98,-0.054207351,0.035448762,3.183279279,5
ER1000k8,1000,3956,1,17,7.912,-0.016833267,0.00804211,3.569777778,6
ER5000-kmed8,5000,19980,4,17,7.992,-0.055476279,0.001388897,4.379741068,6
homorand_N1000_K4_0,1000,2000,4,4,4,nan,0.002,5.64,9
homorand_N1000_K6_0,1000,2994,5,6,5.988,0.191902834,0.0038,4.191299299,6
rb125,125,410,4,100,6.56,-0.17298196,0.837295056,2.303225806,4
SF_500_g2.7,500,859,2,22,3.436,-0.025585881,0.00777381,4.875935872,12
SF_1000_g2.5,1000,1905,2,30,3.81,0.019981522,0.009605041,4.614932933,10
SF_1000_g2.7,1000,1668,2,24,3.336,-0.001960899,0.006650454,5.468826827,12
SF_1000_g3.0,1000,1517,2,26,3.034,-0.008538807,0.005159195,5.965063063,13
ws1000,1000,3000,3,13,6,-0.099928856,0.004364841,4.091303303,6
ws2000,2000,6000,3,13,6,-0.07617896,0.003330159,4.511093047,7
airports_UW,3618,14142,1,250,7.817578773,0.046224131,0.495748931,4.439594642,17
dolphins,62,159,1,12,5.129032258,-0.043594028,0.258958246,3.356953993,8
PGP,10680,24316,1,205,4.553558052,0.238211372,0.265945224,7.485540051,24
zachary_unwh,34,78,1,17,4.588235294,-0.475613098,0.570638478,2.408199643,5
